"id","title","alias","category_id","category_title","detail_url","content_text","publish_time_iso","updated_time_iso"
"1054","Phí gửi xe tại Vinhomes Ocean Park 1 là bao nhiêu?","phi-gui-xe-tai-vinhomes-ocean-park-gia-lam-la-bao-nhieu","119","Vinhomes Ocean Park","https://market.vinhomes.vn/blog/phi-gui-xe-tai-vinhomes-ocean-park-gia-lam-la-bao-nhieu","Việc thu phí gửi xe tại Vinhomes Ocean Park 1 sẽ theo từng thời điểm của đơn vị quản lý vận hành. Hiện nay, phí gửi xe tại Vinhomes Ocean Park 1 (áp dụng cho phí theo tháng) như sau: Phí gửi xe ô tô của nhà xe nổi và hầm tại Vinhomes Ocean Park 1 (Gia Lâm) là 1.250.000 đồng/tháng. Riêng nhà xe nổi Hải Âu 3 áp dụng phí gửi xe ô tô là 500.000 đồng/tháng (đến hết 31/12/2024). Phí gửi xe máy là 45.000 đồng/tháng.","2024-09-23T11:59:23.501000+00:00","2026-01-09T04:27:22.828000+00:00"
"857","Phí dịch vụ tại Vinhomes Ocean Park bao nhiêu?","phi-dich-vu-tai-vinhomes-ocean-park-bao-nhieu","119","Vinhomes Ocean Park","https://market.vinhomes.vn/blog/phi-dich-vu-tai-vinhomes-ocean-park-bao-nhieu","Các khoản phí dịch vụ tại Vinhomes Ocean Park bao gồm: Phí dịch vụ thấp tầng: Phí quản lý khu TMDV, Biệt thự thấp tầng khu Ngọc Trai: 16.000 đồng/m2. Phí quản lý Biệt thự thấp tầng các khu Sao Biển, San Hô, Hải Âu, Hải Đăng, Biển Hồ: 14.000 đồng/m2 Phí dịch vụ cao tầng: Khu Saphire: (Dòng sản phẩm Sapphire): 13.000 đồng/m2 Khu Pavillon P1, P2, P3 (Dòng sản phẩm Sapphire +): 13.000 đồng/m2 Khu Pavillon P1, P2, P3 (Dòng sản phẩm Sapphire + với bể sục và tiện ích tầng 13): 17.500 đồng/m2 Khu The Zen Park (Dòng sản phẩm Ruby): 18.000 đồng/m2 Phí sử dụng bể bơi - Miễn phí với Cư dân khu Ruby, Thấp tầng. - Thu phí với các Cư dân khu Sapphire. Đơn giá cụ thể: + Cư dân: 30.000 đồng/người/lượt + Vé tháng: 400.000 đồng/người/lượt + Khách của Cư dân: 200.000 đồng/người/lượt Phí sử dụng BBQ - Miễn phí với Cư dân khu Ruby - Thu phí với các Cư dân khu Sapphire, Thấp tầng + Đơn giá: 200.000 đồng/01 bếp/02 giờ. + Phụ thu: 40.000 đồng/ người tối đa 03 người/bàn + Phụ thu thêm giờ: 100.000 đồng/01 giờ, 200.000 đồng/02 giờ (Yêu cầu đặt lịch và thanh toán trước khi sử dụng trên hệ thống app Vinhomes Resident) Phí sử dụng Hồ Lagoon - Giá vé Cư dân: 200.000 đồng/người/lượt - Giá vé Khách ngoài: 300.000 đồng/người/lượt Phí sử dụng Thuyền Kayak - Thuyền Kayak đơn: 100.000 đồng/01 giờ - Thuyền Kayak đôi: 200.000 đồng/01 giờ - Thuyền Vịt hai chỗ: 200.000 đồng/01 giờ - Thuyền Vịt bốn chỗ: 300.000 đồng/01 giờ","2024-07-06T05:56:07.525000+00:00","2026-01-09T04:23:50.149000+00:00"
"858","Giá thuê có bao gồm hồ bơi/ phòng tập thể hình","gia-thue-co-bao-gom-ho-boi-phong-tap-the-hinh","126","Hướng dẫn, thủ tục thuê","https://market.vinhomes.vn/blog/gia-thue-co-bao-gom-ho-boi-phong-tap-the-hinh","Quý khách gọi đến số Hotline để đặt phòng và được tư vấn trực tiếp: 0985.003.380","2024-06-25T08:16:03.957000+00:00","2024-06-25T08:16:03.961000+00:00"
"855","Căn hộ có cho phép mang thú cưng vào không?","can-ho-co-cho-phep-mang-thu-cung-vao-khong","126","Hướng dẫn, thủ tục thuê","https://market.vinhomes.vn/blog/can-ho-co-cho-phep-mang-thu-cung-vao-khong","Theo qui định chung của khu cao tầng, thú cưng không được phép nuôi tại căn hộ.","2024-06-25T08:16:00.566000+00:00","2024-06-25T08:16:00.570000+00:00"
"854","Tiện ích khác gần Vinhomes Ocean Park là gì?","tien-ich-khac-gan-vinhomes-ocean-park-la-gi","119","Vinhomes Ocean Park","https://market.vinhomes.vn/blog/tien-ich-khac-gan-vinhomes-ocean-park-la-gi","Là một cư dân của Vinhomes Ocean Park , khách hàng không chỉ được tận hưởng những tiện ích nội khu chất lượng quốc tế mà còn được hưởng lợi từ một loạt các tiện ích đa dạng và thú vị trong khu vực xung quanh dự án. Sở hữu vị trí đắc địa tại khu vực huyện Gia Lâm - TP. Hà Nội, khách hàng sẽ được tận hưởng một chuỗi tiện ích đa dạng và thú vị trong vùng lân cận của dự án bao gồm: * Các trường học gần Vinhomes Ocean Park: Đại học VinUni: Khuôn viên Vinhomes Ocean Park - huyện Gia Lâm - TP. Hà Nội (nằm trong khuôn viên dự án) Học viện Nông nghiệp Việt Nam: Thị trấn Trâu Quỳ - huyện Gia Lâm - TP. Hà Nội (cách dự án 2,4km) Hệ thống trường liên cấp Vinschool: Tòa S1.07, S1.08 và S1.09 - khu Sapphire 1 - KĐT Vinhomes Ocean Park - huyện Gia Lâm - TP. Hà Nội (nằm trong khuôn viên dự án) Trường THPT Cao Bá Quát: Số 57 Cổ Bi - huyện Gia Lâm - TP. Hà Nội (cách dự án 4,8km) Trường THPT Nguyễn Văn Cừ: Thôn Thuận Tốn - xã Đa Tốn - huyện Gia Lâm - TP. Hà Nội (cách dự án 4,8km) * Các trung tâm thương mại, siêu thị gần Vinhomes Ocean Park: TTTM Vincom Mega Mall Ocean Park: Khuôn viên Vinhomes Ocean Park - huyện Gia Lâm - TP. Hà Nội (nằm trong khuôn viên dự án) TTTM Vincom Plaza Long Biên: Đường Chu Huy Mân - quận Long Biên - TP. Hà Nội (cách dự án 9,6km) * Bệnh viện gần Vinhomes Ocean Park: Bệnh viện Đa khoa Gia Lâm: Thị trấn Trâu Quỳ - huyện Gia Lâm - TP. Hà Nội (cách dự án 2,4km) Tổng kết lại, Vinhomes Ocean Park không chỉ có những tiện ích nội khu chất lượng mà còn được bao quanh bởi một lượng lớn các tiện ích chất lượng khác, tạo nên một môi trường sống hoàn hảo và tiện nghi cho cư dân.","2024-06-25T08:15:59.386000+00:00","2026-01-09T04:34:55.880000+00:00"
"851","Khu Sapphire 2 - Vinhomes Ocean Park bao gồm tiện ích nội khu nào?","phan-khu-sapphire-2-vinhomes-ocean-park-bao-gom-tien-ich-noi-khu-nao","119","Vinhomes Ocean Park","https://market.vinhomes.vn/blog/phan-khu-sapphire-2-vinhomes-ocean-park-bao-gom-tien-ich-noi-khu-nao","The Sapphire 2 là nơi lý tưởng để tận hưởng cuộc sống đẳng cấp ngay giữa lòng đô thị sầm uất. Kết hợp cùng các tiện ích dịch vụ đa dạng, khu đã trở thành nơi đáng sống bậc nhất cho mọi cư dân. Bên trong nội khu của dự án là những vườn cây xanh rộng mát đem lại không khí trong lành, dễ chịu cho cư dân. Ngoài ra, chuỗi tiện ích của khu còn gồm có bể bơi ngoài trời, sân tennis, bóng rổ, cầu lông, sân chơi trẻ em, sân tập dưỡng sinh, shophouse, shop thương mại, nhà để xe 5 tầng,... tất cả đều đáp ứng tốt nhất nhu cầu sinh hoạt của mọi gia đình.","2024-06-25T08:15:55.891000+00:00","2026-01-09T03:42:39.930000+00:00"
"846","Chính sách hoãn hủy khi thuê căn?","chinh-sach-hoan-huy-khi-thue-can","126","Hướng dẫn, thủ tục thuê","https://market.vinhomes.vn/blog/chinh-sach-hoan-huy-khi-thue-can","Vui lòng liên hệ trực tiếp với chúng tôi qua số điện thoại 0985.003.379 hoặc hòm thư: reservation@vinhomes.vn để được tư vấn","2024-06-25T08:15:50.688000+00:00","2024-06-25T08:15:50.689000+00:00"
"845","Vinhomes có cung cấp dịch vụ đưa đón từ sân bay về dự án không?","vinhomes-co-cung-cap-dich-vu-dua-don-tu-san-bay-ve-du-an-khong","126","Hướng dẫn, thủ tục thuê","https://market.vinhomes.vn/blog/vinhomes-co-cung-cap-dich-vu-dua-don-tu-san-bay-ve-du-an-khong","Hiện tại, Vinhomes chưa triển khai dịch vụ đưa đón từ sân bay về dự án và ngược lại.","2024-06-25T08:15:49.648000+00:00","2024-06-25T08:15:49.649000+00:00"
"844","Tôi có thể sử dụng các dịch vụ như vườn nướng BBQ, sân tennis hay các tiện ích nội khu… không?","toi-co-the-su-dung-cac-dich-vu-nhu-vuon-nuong-bbq-san-tennis-hay-cac-tien-ich-noi-khu-khong","126","Hướng dẫn, thủ tục thuê","https://market.vinhomes.vn/blog/toi-co-the-su-dung-cac-dich-vu-nhu-vuon-nuong-bbq-san-tennis-hay-cac-tien-ich-noi-khu-khong","Quý Khách vui lòng đăng ký trực tiếp với lễ tân và theo giá hiện hành tại thời điểm đặt dịch vụ","2024-06-25T08:15:48.567000+00:00","2024-06-25T08:15:48.570000+00:00"
"841","Khu Sapphire 1 bao gồm tiện ích nội khu nào?","phan-khu-sapphire-1-bao-gom-tien-ich-noi-khu-nao","119","Vinhomes Ocean Park","https://market.vinhomes.vn/blog/phan-khu-sapphire-1-bao-gom-tien-ich-noi-khu-nao","Khu Sapphire 1 tọa lạc tại trung tâm của dự án Vinhomes Ocean Park nên sở hữu hệ thống tiện ích đa dạng bậc nhất cùng cảnh quan đẹp mắt. Các tiện ích nội khu nổi bật bao gồm: sân chơi trẻ em, vườn dưỡng sinh, sân tập ném bóng rổ, sân bóng bàn, sân vườn, đường dạo. Không chỉ vậy, khu còn nằm kề cận với khối thương mại dịch vụ sầm uất cùng với hệ thống giáo dục liên cấp Vinschool phục vụ nhu cầu học tập của những mầm non tương lai.","2024-06-25T08:15:45.102000+00:00","2026-01-09T01:34:49.755000+00:00"
